tag,sigma2,snr_db,bler
T1,0.5,3.010299956639812,0.995975
T1,0.35,4.559319556497244,0.99472
T1,0.25,6.020599913279624,0.992415
T1,0.15,8.239087409443188,0.987605
T1,0.1,10.0,0.980155
T1,0.05,13.010299956639813,0.96314
T2,0.5,3.010299956639812,0.987545
T2,0.35,4.559319556497244,0.97847
T2,0.25,6.020599913279624,0.96184
T2,0.15,8.239087409443188,0.913985
T2,0.1,10.0,0.84666
T2,0.05,13.010299956639813,0.66682
T3,0.5,3.010299956639812,0.976575
T3,0.35,4.559319556497244,0.950215
T3,0.25,6.020599913279624,0.89844
T3,0.15,8.239087409443188,0.740725
T3,0.1,10.0,0.56204
T3,0.05,13.010299956639813,0.26699
main,0.5,3.010299956639812,0.957765
main,0.35,4.559319556497244,0.891035
main,0.25,6.020599913279624,0.7453
main,0.15,8.239087409443188,0.38433
main,0.1,10.0,0.16556
main,0.05,13.010299956639813,0.027875
main_30k,0.5,3.010299956639812,0.963605
main_30k,0.35,4.559319556497244,0.905645
main_30k,0.25,6.020599913279624,0.771415
main_30k,0.15,8.239087409443188,0.407005
main_30k,0.1,10.0,0.20432
main_30k,0.05,13.010299956639813,0.131635
no_curriculum,0.5,3.010299956639812,0.96277
no_curriculum,0.35,4.559319556497244,0.90356
no_curriculum,0.25,6.020599913279624,0.7687
no_curriculum,0.15,8.239087409443188,0.40374
no_curriculum,0.1,10.0,0.20337
no_curriculum,0.05,13.010299956639813,0.121595
no_feedback,0.5,3.010299956639812,0.91693
no_feedback,0.35,4.559319556497244,0.84417
no_feedback,0.25,6.020599913279624,0.72693
no_feedback,0.15,8.239087409443188,0.451715
no_feedback,0.1,10.0,0.214
no_feedback,0.05,13.010299956639813,0.017095
