step,loss,sigma,lr,val_bler
0,2.0960960388183594,0.22360679774997896,1e-06,0.9993896484375
500,0.3292480707168579,0.2472066162365221,0.00025100000000000003,0.9375
1000,0.13753941655158997,0.268741924943285,0.000501,0.9559326171875
1500,0.1921335905790329,0.2886751345948129,0.000751,0.95263671875
2000,0.27236148715019226,0.3073181485764296,0.0009999999968528048,0.9517822265625
2500,0.3482078015804291,0.32489314482696546,0.0009992102588219365,0.9395751953125
3000,0.43257150053977966,0.3415650255319866,0.000996849820626807,0.936279296875
3500,0.5069122314453125,0.35746017649212025,0.0009929261090792561,0.9359130859375
4000,0.5824342370033264,0.37267799624996495,0.0009874514696274462,0.9287109375
4500,0.6475375890731812,0.3872983346207417,0.000980443127512514,0.9300537109375
5000,0.7011972665786743,0.4013864859597432,0.0009719231335715897,0.919189453125
5500,0.7519176006317139,0.4149966532662911,0.0009619182948577062,0.92529296875
6000,0.8129737377166748,0.42817441928883765,0.0009504600902948906,0.9163818359375
6500,0.8621300458908081,0.4409585518440985,0.0009375845716338252,0.9232177734375
7000,0.924347996711731,0.45338235029118146,0.000923332250019701,0.9228515625
7500,0.9567105174064636,0.4654746681256314,0.0009077479685291668,0.911865234375
8000,0.9783576726913452,0.4772607021092118,0.0008908807610774207,0.9168701171875
8500,1.011142373085022,0.4887626099538393,0.000872783698139372,0.9150390625
9000,1.049863576889038,0.5,0.0008535137197702918,0.9129638671875
9500,1.0499203205108643,0.5,0.0008331314564513348,0.90478515625
10000,1.0359493494033813,0.5,0.0008117010383236134,0.9083251953125
10500,1.0466430187225342,0.5,0.0007892898934110488,0.9091796875
11000,1.045883059501648,0.5,0.0007659685354668607,0.9058837890625
11500,1.0541006326675415,0.5,0.0007418103421112131,0.9080810546875
12000,1.0494263172149658,0.5,0.0007168913239580735,0.9095458984375
12500,1.0538359880447388,0.5,0.0006912898854577002,0.904052734375
13000,1.0687496662139893,0.5,0.0006650865782072358,0.9114990234375
13500,1.0418859720230103,0.5,0.0006383638475055801,0.907470703125
14000,1.0494225025177002,0.5,0.0006112057729499786,0.9075927734375
14500,1.0560321807861328,0.5,0.0005836978038905031,0.907470703125
15000,1.0462247133255005,0.5,0.0005559264905747829,0.9056396484375
15500,1.0476635694503784,0.5,0.0005279792118289058,0.9061279296875
16000,1.0530424118041992,0.5,0.0004999439001313037,0.908203125
16500,1.0500445365905762,0.5,0.0004719087649446433,0.9058837890625
17000,1.0543677806854248,0.5,0.0004439620151762232,0.9041748046875
17500,1.052461862564087,0.5,0.0004161915816401162,0.8970947265625
18000,1.0470459461212158,0.5,0.00038868484039429775,0.903076171875
18500,1.0458813905715942,0.5,0.00036152833782324156,0.8955078125
19000,1.0493888854980469,0.5,0.0003348075183309741,0.900390625
19500,1.0488057136535645,0.5,0.0003086064555013695,0.9007568359375
20000,1.0372560024261475,0.5,0.00028300758757154887,0.9012451171875
20500,1.05271315574646,0.5,0.000258091458050689,0.89892578125
21000,1.0470134019851685,0.5,0.00023393646230034177,0.9000244140625
21500,1.0421024560928345,0.5,0.00021061860087362617,0.897705078125
22000,1.0537137985229492,0.5,0.00018821124038936822,0.8922119140625
22500,1.0526447296142578,0.5,0.0001667848826935764,0.9000244140625
23000,1.0353559255599976,0.5,0.0001464069430345506,0.9041748046875
23500,1.0603044033050537,0.5,0.0001271415379495693,0.9061279296875
24000,1.0519392490386963,0.5,0.00010904928353054378,0.900146484375
24500,1.0274765491485596,0.5,9.218710470336516e-05,0.9024658203125
25000,1.0407103300094604,0.5,7.660805612102956e-05,0.90185546875
25500,1.0378011465072632,0.5,6.23611552340696e-05,0.8984375
26000,1.0442194938659668,0.5,4.949122806352141e-05,0.90087890625
26500,1.0434801578521729,0.5,3.803876816167806e-05,0.8973388671875
27000,1.0384775400161743,0.5,2.803980920439253e-05,0.898681640625
27500,1.0487744808197021,0.5,1.9525811615803302e-05,0.9007568359375
28000,1.0494344234466553,0.5,1.2523563582199582e-05,0.89990234375
28500,1.0558140277862549,0.5,7.055096766477476e-06,0.89453125
29000,1.0357065200805664,0.5,3.1376169883770013e-06,0.898681640625
29500,1.0532176494598389,0.5,7.834500886081397e-07,0.9010009765625
29999,1.037531852722168,0.5,0.0,0.896484375
