step,loss,sigma,lr,val_bler
0,2.1018409729003906,0.22360679774997896,1e-06,0.9996337890625
500,0.31824228167533875,0.2472066162365221,0.00025100000000000003,0.849609375
1000,0.03241698443889618,0.268741924943285,0.000501,0.8759765625
1500,0.010159970261156559,0.2886751345948129,0.000751,0.9068603515625
2000,0.014165842905640602,0.3073181485764296,0.0009999999968528048,0.906982421875
2500,0.022520318627357483,0.32489314482696546,0.0009992102588219365,0.89111328125
3000,0.0642707496881485,0.3415650255319866,0.000996849820626807,0.88134765625
3500,0.09682653844356537,0.35746017649212025,0.0009929261090792561,0.8759765625
4000,0.15244266390800476,0.37267799624996495,0.0009874514696274462,0.84619140625
4500,0.2201908826828003,0.3872983346207417,0.000980443127512514,0.8265380859375
5000,0.3025001287460327,0.4013864859597432,0.0009719231335715897,0.815185546875
5500,0.35609549283981323,0.4149966532662911,0.0009619182948577062,0.81494140625
6000,0.4150000810623169,0.42817441928883765,0.0009504600902948906,0.8004150390625
6500,0.4673951268196106,0.4409585518440985,0.0009375845716338252,0.801025390625
7000,0.5150388479232788,0.45338235029118146,0.000923332250019701,0.7860107421875
7500,0.5881344079971313,0.4654746681256314,0.0009077479685291668,0.7889404296875
8000,0.6242493391036987,0.4772607021092118,0.0008908807610774207,0.7862548828125
8500,0.6753564476966858,0.4887626099538393,0.000872783698139372,0.79296875
9000,0.7197885513305664,0.5,0.0008535137197702918,0.7750244140625
9500,0.705665111541748,0.5,0.0008331314564513348,0.768798828125
10000,0.7201189398765564,0.5,0.0008117010383236134,0.78759765625
10500,0.7044073343276978,0.5,0.0007892898934110488,0.7952880859375
11000,0.7225996255874634,0.5,0.0007659685354668607,0.782470703125
11500,0.7245194911956787,0.5,0.0007418103421112131,0.7908935546875
12000,0.7121365666389465,0.5,0.0007168913239580735,0.7894287109375
12500,0.72431480884552,0.5,0.0006912898854577002,0.78857421875
13000,0.7257447242736816,0.5,0.0006650865782072358,0.783447265625
13500,0.7349392175674438,0.5,0.0006383638475055801,0.7740478515625
14000,0.7100411653518677,0.5,0.0006112057729499786,0.784912109375
14500,0.7202596068382263,0.5,0.0005836978038905031,0.7874755859375
15000,0.714225172996521,0.5,0.0005559264905747829,0.77685546875
15500,0.7241994142532349,0.5,0.0005279792118289058,0.77392578125
16000,0.7188307046890259,0.5,0.0004999439001313037,0.77783203125
16500,0.7044744491577148,0.5,0.0004719087649446433,0.775146484375
17000,0.7241899967193604,0.5,0.0004439620151762232,0.7847900390625
17500,0.711992621421814,0.5,0.0004161915816401162,0.7757568359375
18000,0.7077802419662476,0.5,0.00038868484039429775,0.7724609375
18500,0.7222697734832764,0.5,0.00036152833782324156,0.7747802734375
19000,0.7125786542892456,0.5,0.0003348075183309741,0.7730712890625
19500,0.7028246521949768,0.5,0.0003086064555013695,0.7705078125
20000,0.6863831281661987,0.5,0.00028300758757154887,0.7769775390625
20500,0.7153688669204712,0.5,0.000258091458050689,0.7615966796875
21000,0.710017204284668,0.5,0.00023393646230034177,0.789306640625
21500,0.6995531320571899,0.5,0.00021061860087362617,0.774658203125
22000,0.7228765487670898,0.5,0.00018821124038936822,0.7852783203125
22500,0.7234092354774475,0.5,0.0001667848826935764,0.7725830078125
23000,0.7051910758018494,0.5,0.0001464069430345506,0.775390625
23500,0.7211626768112183,0.5,0.0001271415379495693,0.7723388671875
24000,0.698173999786377,0.5,0.00010904928353054378,0.7650146484375
24500,0.7011470794677734,0.5,9.218710470336516e-05,0.7734375
25000,0.7101351022720337,0.5,7.660805612102956e-05,0.7772216796875
25500,0.7171398401260376,0.5,6.23611552340696e-05,0.768310546875
26000,0.7138644456863403,0.5,4.949122806352141e-05,0.77099609375
26500,0.7123430967330933,0.5,3.803876816167806e-05,0.7686767578125
27000,0.7243105173110962,0.5,2.803980920439253e-05,0.7723388671875
27500,0.7230137586593628,0.5,1.9525811615803302e-05,0.762939453125
28000,0.7155297994613647,0.5,1.2523563582199582e-05,0.7672119140625
28500,0.6902605295181274,0.5,7.055096766477476e-06,0.7674560546875
29000,0.6989151239395142,0.5,3.1376169883770013e-06,0.76025390625
29500,0.7232924699783325,0.5,7.834500886081397e-07,0.7783203125
29999,0.7076464295387268,0.5,0.0,0.7777099609375
