step,loss,sigma,lr,val_bler
0,2.101712226867676,0.22360679774997896,1e-06,0.99951171875
500,0.7516034841537476,0.2472066162365221,0.00025100000000000003,0.9652099609375
1000,0.7164876461029053,0.268741924943285,0.000501,0.9521484375
1500,0.10877716541290283,0.2886751345948129,0.000751,0.7254638671875
2000,0.15297815203666687,0.3073181485764296,0.0009999999968528048,0.727294921875
2500,0.19701915979385376,0.32489314482696546,0.0009992102588219365,0.7269287109375
3000,0.24479448795318604,0.3415650255319866,0.000996849820626807,0.71923828125
3500,0.30158597230911255,0.35746017649212025,0.0009929261090792561,0.7320556640625
4000,0.3543482720851898,0.37267799624996495,0.0009874514696274462,0.7239990234375
4500,0.4006691575050354,0.3872983346207417,0.000980443127512514,0.7279052734375
5000,0.4490117132663727,0.4013864859597432,0.0009719231335715897,0.7254638671875
5500,0.49369847774505615,0.4149966532662911,0.0009619182948577062,0.727294921875
6000,0.5528136491775513,0.42817441928883765,0.0009504600902948906,0.728515625
6500,0.5858843326568604,0.4409585518440985,0.0009375845716338252,0.72705078125
7000,0.6284693479537964,0.45338235029118146,0.000923332250019701,0.728271484375
7500,0.662870466709137,0.4654746681256314,0.0009077479685291668,0.73388671875
8000,0.6935248374938965,0.4772607021092118,0.0008908807610774207,0.72607421875
8500,0.7564728260040283,0.4887626099538393,0.000872783698139372,0.721923828125
9000,0.7852314710617065,0.5,0.0008535137197702918,0.7274169921875
9500,0.7859384417533875,0.5,0.0008331314564513348,0.724853515625
10000,0.785865068435669,0.5,0.0008117010383236134,0.7293701171875
10500,0.7859925031661987,0.5,0.0007892898934110488,0.726806640625
11000,0.7857936024665833,0.5,0.0007659685354668607,0.722412109375
11500,0.7960742115974426,0.5,0.0007418103421112131,0.7239990234375
12000,0.7923904657363892,0.5,0.0007168913239580735,0.7232666015625
12500,0.781524121761322,0.5,0.0006912898854577002,0.726806640625
13000,0.7774942517280579,0.5,0.0006650865782072358,0.736572265625
13500,0.780868649482727,0.5,0.0006383638475055801,0.7235107421875
14000,0.7888178825378418,0.5,0.0006112057729499786,0.7381591796875
14500,0.7763962745666504,0.5,0.0005836978038905031,0.7303466796875
15000,0.7913552522659302,0.5,0.0005559264905747829,0.73095703125
15500,0.7861343622207642,0.5,0.0005279792118289058,0.7281494140625
16000,0.7865800857543945,0.5,0.0004999439001313037,0.723876953125
16500,0.7816764712333679,0.5,0.0004719087649446433,0.7203369140625
17000,0.7847592830657959,0.5,0.0004439620151762232,0.7215576171875
17500,0.782666802406311,0.5,0.0004161915816401162,0.730224609375
18000,0.7883706092834473,0.5,0.00038868484039429775,0.7275390625
18500,0.7832881212234497,0.5,0.00036152833782324156,0.7305908203125
19000,0.7847493290901184,0.5,0.0003348075183309741,0.7303466796875
19500,0.7886233329772949,0.5,0.0003086064555013695,0.730224609375
20000,0.7735782861709595,0.5,0.00028300758757154887,0.73095703125
20500,0.7930651307106018,0.5,0.000258091458050689,0.721435546875
21000,0.7768688201904297,0.5,0.00023393646230034177,0.7279052734375
21500,0.7959640026092529,0.5,0.00021061860087362617,0.722900390625
22000,0.7794475555419922,0.5,0.00018821124038936822,0.7294921875
22500,0.7739920616149902,0.5,0.0001667848826935764,0.7269287109375
23000,0.776929497718811,0.5,0.0001464069430345506,0.7353515625
23500,0.794788658618927,0.5,0.0001271415379495693,0.7342529296875
24000,0.7760037779808044,0.5,0.00010904928353054378,0.731689453125
24500,0.78873610496521,0.5,9.218710470336516e-05,0.732177734375
25000,0.7878458499908447,0.5,7.660805612102956e-05,0.7320556640625
25500,0.7714906930923462,0.5,6.23611552340696e-05,0.7308349609375
26000,0.7866365909576416,0.5,4.949122806352141e-05,0.7227783203125
26500,0.7848716378211975,0.5,3.803876816167806e-05,0.7281494140625
27000,0.7768595218658447,0.5,2.803980920439253e-05,0.721435546875
27500,0.7832835912704468,0.5,1.9525811615803302e-05,0.720947265625
28000,0.789221465587616,0.5,1.2523563582199582e-05,0.7198486328125
28500,0.7704169750213623,0.5,7.055096766477476e-06,0.7196044921875
29000,0.7714524269104004,0.5,3.1376169883770013e-06,0.7255859375
29500,0.7770972847938538,0.5,7.834500886081397e-07,0.724609375
29999,0.7900367975234985,0.5,0.0,0.725830078125
